YYYY/MM/DD,Wdy,USD/EUR
10/13/2011,Thu,1.373
10/14/2011,Fri,1.386
10/17/2011,Mon,1.3768
10/18/2011,Tue,1.3718
10/19/2011,Wed,1.3774
10/20/2011,Thu,1.3672
10/21/2011,Fri,1.3872
10/24/2011,Mon,1.3932
10/25/2011,Tue,1.3911
10/26/2011,Wed,1.3838
10/27/2011,Thu,1.4171
10/28/2011,Fri,1.4164
10/31/2011,Mon,1.3947
11/1/2011,Tue,1.3675
11/2/2011,Wed,1.3801
11/3/2011,Thu,1.3744
11/4/2011,Fri,1.3759
11/7/2011,Mon,1.3743
11/8/2011,Tue,1.3787
11/9/2011,Wed,1.3595
11/10/2011,Thu,1.3599
11/14/2011,Mon,1.3624
11/15/2011,Tue,1.3523
11/16/2011,Wed,1.3506
11/17/2011,Thu,1.3521
11/18/2011,Fri,1.3521
11/21/2011,Mon,1.3525
11/22/2011,Tue,1.3499
11/23/2011,Wed,1.3347
11/24/2011,Thu,1.334
11/25/2011,Fri,1.3243
11/28/2011,Mon,1.3334
11/29/2011,Tue,1.3342
11/30/2011,Wed,1.3453
12/1/2011,Thu,1.3486
12/2/2011,Fri,1.3384
12/5/2011,Mon,1.3462
12/6/2011,Tue,1.3396
12/7/2011,Wed,1.3386
12/8/2011,Thu,1.3324
12/9/2011,Fri,1.3367
12/12/2011,Mon,1.3187
12/13/2011,Tue,1.3093
12/14/2011,Wed,1.2971
12/15/2011,Thu,1.3012
12/16/2011,Fri,1.3025
12/19/2011,Mon,1.3016
12/20/2011,Tue,1.3075
12/21/2011,Wed,1.3039
12/22/2011,Thu,1.3045
12/23/2011,Fri,1.304
12/28/2011,Wed,1.2925
12/29/2011,Thu,1.2952
12/30/2011,Fri,1.2972
1/3/2012,Tue,1.3061
1/4/2012,Wed,1.293
1/5/2012,Thu,1.2781
1/6/2012,Fri,1.2723
1/9/2012,Mon,1.2744
1/10/2012,Tue,1.2782
1/11/2012,Wed,1.2686
1/12/2012,Thu,1.2818
1/13/2012,Fri,1.2681
1/16/2012,Mon,1.2675
